Group Name,Project Name,Tool,Scanner Name,Status,Vulnerability,Details,Additional Info,Severity,CVE,CWE,Other Identifiers,Detected At,Location,Activity,Comments,Full Path,CVSS Vectors,Dismissal Reason
,juice-shop,sast,Semgrep,detected,Improper limitation of a pathname to a restricted directory ('Path Traversal'),"The application dynamically constructs file or path information. If the path\ninformation comes from user-supplied input, it could be abused to read sensitive files,\naccess other users' data, or aid in exploitation to gain further system access.\n\nUser input should never be used in constructing paths or files for interacting\nwith the filesystem. This includes filenames supplied by user uploads or downloads.\nIf possible, consider hashing user input or using unique values and\nuse `path.normalize` to resolve and validate the path information\nprior to processing any file functionality.\n\nExample using `path.normalize` and not allowing direct user input:\n```\n// User input, saved only as a reference\n// id is a randomly generated UUID to be used as the filename\nconst userData = {userFilename: userSuppliedFilename, id: crypto.randomUUID()};\n// Restrict all file processing to this directory only\nconst basePath = '/app/restricted/';\n\n// Create the full path, but only use our random generated id as the filename\nconst joinedPath = path.join(basePath, userData.id);\n// Normalize path, removing any '..'\nconst fullPath = path.normalize(joinedPath);\n// Verify the fullPath is contained within our basePath\nif (!fullPath.startsWith(basePath)) {\n    console.log(""Invalid path specified!"");\n}\n// Process / work with file\n// ...\n```\n\nFor more information on path traversal issues see OWASP:\nhttps://owasp.org/www-community/attacks/Path_Traversal\n",,medium,,CWE-22,"""A5:2017 - Broken Access Control""; ""A01:2021 - Broken Access Control""; ""ESLint rule ID/detect-non-literal-fs-filename""; eslint.detect-non-literal-fs-filename",2024-11-14 15:16:30 UTC,"{""file""=>""lib/codingChallenges.ts"", ""start_line""=>21}",FALSE,,,,
,juice-shop,sast,Semgrep,detected,Use of cryptographically weak pseudo-random number generator (PRNG),"This rule identifies use of cryptographically weak random number generators.\nUsing cryptographically weak random number generators like `crypto.pseudoRandomBytes()` \nand `Math.random()` for security-critical tasks can expose systems to significant \nvulnerabilities. Attackers might predict the generated random numbers, compromising \nthe integrity and confidentiality of cryptographic operations. This could lead to \nbreaches where sensitive data is accessed or manipulated, authentication mechanisms \nare bypassed, or secure communications are intercepted, ultimately undermining the \nsecurity of the entire system or application.\n\nMitigation strategy:\nReplace the use of these cryptographically weak random number generators with \n`crypto.randomBytes()`, a method provided by Node.js's `crypto` module that \ngenerates cryptographically secure random numbers. This method should be used \nfor all operations requiring secure randomness, such as generating keys, tokens, \nor any cryptographic material.\n\nSecure Code Example:\n```\nconst crypto = require('crypto');\nconst secureBytes = crypto.randomBytes(256);\nconsole.log(`Secure random bytes: ${secureBytes.toString('hex')}`);\n```\n",,medium,,CWE-338,"nodejs_scan.javascript-crypto-rule-node_insecure_random_generator; ""NodeJS Scan ID javascript-crypto-rule-node_insecure_random_generator""; ""A3:2017 - Sensitive Data Exposure""; ""A02:2021 - Cryptographic Failures""",2024-11-14 15:16:30 UTC,"{""file""=>""data/datacreator.ts"", ""start_line""=>221}",FALSE,,,,
,juice-shop,sast,Semgrep,detected,Improper limitation of a pathname to a restricted directory ('Path Traversal'),"The application dynamically constructs file or path information. If the path\ninformation comes from user-supplied input, it could be abused to read sensitive files,\naccess other users' data, or aid in exploitation to gain further system access.\n\nUser input should never be used in constructing paths or files for interacting\nwith the filesystem. This includes filenames supplied by user uploads or downloads.\nIf possible, consider hashing user input or using unique values and\nuse `path.normalize` to resolve and validate the path information\nprior to processing any file functionality.\n\nExample using `path.normalize` and not allowing direct user input:\n```\n// User input, saved only as a reference\n// id is a randomly generated UUID to be used as the filename\nconst userData = {userFilename: userSuppliedFilename, id: crypto.randomUUID()};\n// Restrict all file processing to this directory only\nconst basePath = '/app/restricted/';\n\n// Create the full path, but only use our random generated id as the filename\nconst joinedPath = path.join(basePath, userData.id);\n// Normalize path, removing any '..'\nconst fullPath = path.normalize(joinedPath);\n// Verify the fullPath is contained within our basePath\nif (!fullPath.startsWith(basePath)) {\n    console.log(""Invalid path specified!"");\n}\n// Process / work with file\n// ...\n```\n\nFor more information on path traversal issues see OWASP:\nhttps://owasp.org/www-community/attacks/Path_Traversal\n",,medium,,CWE-22,"""A5:2017 - Broken Access Control""; ""A01:2021 - Broken Access Control""; ""ESLint rule ID/detect-non-literal-fs-filename""; eslint.detect-non-literal-fs-filename",2024-11-14 15:16:30 UTC,"{""file""=>""routes/chatbot.ts"", ""start_line""=>31}",FALSE,,,,
,juice-shop,sast,Semgrep,detected,Improper limitation of a pathname to a restricted directory ('Path Traversal'),"The application dynamically constructs file or path information. If the path\ninformation comes from user-supplied input, it could be abused to read sensitive files,\naccess other users' data, or aid in exploitation to gain further system access.\n\nUser input should never be used in constructing paths or files for interacting\nwith the filesystem. This includes filenames supplied by user uploads or downloads.\nIf possible, consider hashing user input or using unique values and\nuse `path.normalize` to resolve and validate the path information\nprior to processing any file functionality.\n\nExample using `path.normalize` and not allowing direct user input:\n```\n// User input, saved only as a reference\n// id is a randomly generated UUID to be used as the filename\nconst userData = {userFilename: userSuppliedFilename, id: crypto.randomUUID()};\n// Restrict all file processing to this directory only\nconst basePath = '/app/restricted/';\n\n// Create the full path, but only use our random generated id as the filename\nconst joinedPath = path.join(basePath, userData.id);\n// Normalize path, removing any '..'\nconst fullPath = path.normalize(joinedPath);\n// Verify the fullPath is contained within our basePath\nif (!fullPath.startsWith(basePath)) {\n    console.log(""Invalid path specified!"");\n}\n// Process / work with file\n// ...\n```\n\nFor more information on path traversal issues see OWASP:\nhttps://owasp.org/www-community/attacks/Path_Traversal\n",,medium,,CWE-22,"""A5:2017 - Broken Access Control""; ""A01:2021 - Broken Access Control""; ""ESLint rule ID/detect-non-literal-fs-filename""; eslint.detect-non-literal-fs-filename",2024-11-14 15:16:30 UTC,"{""file""=>""routes/order.ts"", ""start_line""=>45}",FALSE,,,,
,juice-shop,sast,Semgrep,detected,Improper neutralization of special elements in data query logic,Untrusted user input in findOne() function can result in NoSQL Injection.\n,,critical,,CWE-943,"""A1:2017 - Injection""; nodejs_scan.javascript-database-rule-node_nosqli_injection; ""NodeJS Scan ID javascript-database-rule-node_nosqli_injection""; ""A03:2021 - Injection""",2024-11-14 15:16:30 UTC,"{""file""=>""routes/order.ts"", ""start_line""=>71}",FALSE,,,,
,juice-shop,sast,Semgrep,detected,Regular expression with non-literal value,"The `RegExp` constructor was called with a non-literal value. If an adversary were able to\nsupply a malicious regex, they could cause a Regular Expression Denial of Service (ReDoS)\nagainst the application. In Node applications, this could cause the entire application to no\nlonger be responsive to other users' requests.\n\nTo remediate this issue, never allow user-supplied regular expressions. Instead, the regular \nexpression should be  hardcoded. If this is not possible, consider using an alternative regular\nexpression engine such as [node-re2](https://www.npmjs.com/package/re2). RE2 is a safe alternative \nthat does not support backtracking, which is what leads to ReDoS.\n\nExample using re2 which does not support backtracking (Note: it is still recommended to\nnever use user-supplied input):\n```\n// Import the re2 module\nconst RE2 = require('re2');\n\nfunction match(userSuppliedRegex, userInput) {\n    // Create a RE2 object with the user supplied regex, this is relatively safe\n    // due to RE2 not supporting backtracking which can be abused to cause long running\n    // queries\n    var re = new RE2(userSuppliedRegex);\n    // Execute the regular expression against some userInput\n    var result = re.exec(userInput);\n    // Work with the result\n}\n```\n\nFor more information on Regular Expression DoS see:\n- https://owasp.org/www-community/attacks/Regular_expression_Denial_of_Service_-_ReDoS\n",,medium,,CWE-185,"""A1:2017 - Injection""; ""ESLint rule ID/detect-non-literal-regexp""; eslint.detect-non-literal-regexp; ""A03:2021 - Injection""",2024-11-14 15:16:30 UTC,"{""file""=>""lib/codingChallenges.ts"", ""start_line""=>78}",FALSE,,,,
,juice-shop,sast,Semgrep,detected,Improper neutralization of special elements in data query logic,Untrusted user input in findOne() function can result in NoSQL Injection.\n,,critical,,CWE-943,"""A1:2017 - Injection""; nodejs_scan.javascript-database-rule-node_nosqli_injection; ""NodeJS Scan ID javascript-database-rule-node_nosqli_injection""; ""A03:2021 - Injection""",2024-11-14 15:16:30 UTC,"{""file""=>""routes/wallet.ts"", ""end_line""=>24, ""start_line""=>23}",FALSE,,,,
,juice-shop,sast,Semgrep,detected,Improper neutralization of directives in dynamically evaluated code ('Eval Injection'),"The application was found calling the `eval` function OR Function()\n  constructor OR setTimeout() OR setInterval() methods. If the\n\n  variables or strings or functions passed to these methods contains user-supplied input, an adversary could attempt to execute arbitrary\n\n  JavaScript\n\n  code. This could lead to a full system compromise in Node applications or Cross-site Scripting\n\n  (XSS) in web applications.\n\n\n  To remediate this issue, remove all calls to above methods and consider alternative methods for\n\n  executing\n\n  the necessary business logic. There is almost no safe method of calling `eval` or other above stated sinks with\n\n  user-supplied input.\n\n  Instead, consider alternative methods such as using property accessors to dynamically access\n\n  values.\n\n\n  Example using property accessors to dynamically access an object's property:\n\n  ```\n\n  // Define an object\n\n  const obj = {key1: 'value1', key2: 'value2'};\n\n  // Get key dynamically from user input\n\n  const key = getUserInput();\n\n  // Check if the key exists in our object and return it, or a default empty string\n\n  const value = (obj.hasOwnProperty(key)) ? obj[key] : '';\n\n  // Work with the value\n\n  ```\n\n\n  For more information on why not to use `eval`, and alternatives see:\n\n  - https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/eval#never_use_eval!\n\n  Other References:\n\n  - https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Function/Function\n\n  - https://developer.mozilla.org/en-US/docs/Web/API/setTimeout\n\n  - https://developer.mozilla.org/en-US/docs/Web/API/setInterval\n",,high,,CWE-95,"eslint.detect-eval-with-expression; ""A1:2017 - Injection""; ""A03:2021 - Injection""; ""ESLint rule ID/detect-eval-with-expression""",2024-11-14 15:16:30 UTC,"{""file""=>""routes/captcha.ts"", ""start_line""=>23}",FALSE,,,,
,juice-shop,sast,Semgrep,detected,Improper neutralization of special elements in data query logic,Untrusted user input in findOne() function can result in NoSQL Injection.\n,,critical,,CWE-943,"""A1:2017 - Injection""; nodejs_scan.javascript-database-rule-node_nosqli_injection; ""NodeJS Scan ID javascript-database-rule-node_nosqli_injection""; ""A03:2021 - Injection""",2024-11-14 15:16:30 UTC,"{""file""=>""routes/resetPassword.ts"", ""end_line""=>35, ""start_line""=>30}",FALSE,,,,
,juice-shop,sast,Semgrep,detected,URL redirection to untrusted site 'open redirect',"Passing untrusted user input in `redirect()` can result in an open redirect\nvulnerability. This could be abused by malicious actors to trick users into \nbeing redirected to websites under their control to capture authentication\ninformation.  \nTo prevent open redirect vulnerabilities:\n\n- Always validate and sanitize user inputs, especially URL parameters\n or query strings that may influence the flow of the application.\n- Use allowlists (lists of permitted URLs) to validate redirect targets \n against known, trusted URLs before performing the redirect.\n- Avoid directly using user input for redirecting. If unavoidable, ensure\n strict validation against an allowlist.\n\nFollowing is an example of secure validation against allowlist to prevent the vulnerability:\n ```\n // Define a list of explicitly allowed URLs for redirection\n const allowedUrls = [\n     'https://www.example.com/page1',\n     'https://www.example.com/page2',\n     'https://secure.example.com/page3'\n ];\n\n app.get('/redirect/:url', (req, res) => {\n     const url = decodeURIComponent(req.params.url);\n     const isAllowed = allowedUrls.includes(url);\n     if (isAllowed) {\n         // If the URL is allowed, proceed with the redirect\n         res.redirect(url);\n     } else {\n         res.status(400).send('Invalid redirect URL');\n     }\n });\n ```\n",,critical,,CWE-601,"""A1:2017 - Injection""; nodejs_scan.javascript-redirect-rule-express_open_redirect; ""NodeJS Scan ID javascript-redirect-rule-express_open_redirect""; ""A03:2021 - Injection""",2024-11-14 15:16:30 UTC,"{""file""=>""routes/redirect.ts"", ""start_line""=>19}",FALSE,,,,
,juice-shop,sast,Semgrep,detected,Use of cryptographically weak pseudo-random number generator (PRNG),"This rule identifies use of cryptographically weak random number generators.\nUsing cryptographically weak random number generators like `crypto.pseudoRandomBytes()` \nand `Math.random()` for security-critical tasks can expose systems to significant \nvulnerabilities. Attackers might predict the generated random numbers, compromising \nthe integrity and confidentiality of cryptographic operations. This could lead to \nbreaches where sensitive data is accessed or manipulated, authentication mechanisms \nare bypassed, or secure communications are intercepted, ultimately undermining the \nsecurity of the entire system or application.\n\nMitigation strategy:\nReplace the use of these cryptographically weak random number generators with \n`crypto.randomBytes()`, a method provided by Node.js's `crypto` module that \ngenerates cryptographically secure random numbers. This method should be used \nfor all operations requiring secure randomness, such as generating keys, tokens, \nor any cryptographic material.\n\nSecure Code Example:\n```\nconst crypto = require('crypto');\nconst secureBytes = crypto.randomBytes(256);\nconsole.log(`Secure random bytes: ${secureBytes.toString('hex')}`);\n```\n",,medium,,CWE-338,"nodejs_scan.javascript-crypto-rule-node_insecure_random_generator; ""NodeJS Scan ID javascript-crypto-rule-node_insecure_random_generator""; ""A3:2017 - Sensitive Data Exposure""; ""A02:2021 - Cryptographic Failures""",2024-11-14 15:16:30 UTC,"{""file""=>""data/datacreator.ts"", ""start_line""=>682}",FALSE,,,,
,juice-shop,sast,Semgrep,detected,Improper limitation of a pathname to a restricted directory ('Path Traversal'),"The application dynamically constructs file or path information. If the path\ninformation comes from user-supplied input, it could be abused to read sensitive files,\naccess other users' data, or aid in exploitation to gain further system access.\n\nUser input should never be used in constructing paths or files for interacting\nwith the filesystem. This includes filenames supplied by user uploads or downloads.\nIf possible, consider hashing user input or using unique values and\nuse `path.normalize` to resolve and validate the path information\nprior to processing any file functionality.\n\nExample using `path.normalize` and not allowing direct user input:\n```\n// User input, saved only as a reference\n// id is a randomly generated UUID to be used as the filename\nconst userData = {userFilename: userSuppliedFilename, id: crypto.randomUUID()};\n// Restrict all file processing to this directory only\nconst basePath = '/app/restricted/';\n\n// Create the full path, but only use our random generated id as the filename\nconst joinedPath = path.join(basePath, userData.id);\n// Normalize path, removing any '..'\nconst fullPath = path.normalize(joinedPath);\n// Verify the fullPath is contained within our basePath\nif (!fullPath.startsWith(basePath)) {\n    console.log(""Invalid path specified!"");\n}\n// Process / work with file\n// ...\n```\n\nFor more information on path traversal issues see OWASP:\nhttps://owasp.org/www-community/attacks/Path_Traversal\n",,medium,,CWE-22,"""A5:2017 - Broken Access Control""; ""A01:2021 - Broken Access Control""; ""ESLint rule ID/detect-non-literal-fs-filename""; eslint.detect-non-literal-fs-filename",2024-11-14 15:16:30 UTC,"{""file""=>""lib/codingChallenges.ts"", ""start_line""=>22}",FALSE,,,,
,juice-shop,sast,Semgrep,detected,Improper limitation of a pathname to a restricted directory ('Path Traversal'),"The application dynamically constructs file or path information. If the path\ninformation comes from user-supplied input, it could be abused to read sensitive files,\naccess other users' data, or aid in exploitation to gain further system access.\n\nUser input should never be used in constructing paths or files for interacting\nwith the filesystem. This includes filenames supplied by user uploads or downloads.\nIf possible, consider hashing user input or using unique values and\nuse `path.normalize` to resolve and validate the path information\nprior to processing any file functionality.\n\nExample using `path.normalize` and not allowing direct user input:\n```\n// User input, saved only as a reference\n// id is a randomly generated UUID to be used as the filename\nconst userData = {userFilename: userSuppliedFilename, id: crypto.randomUUID()};\n// Restrict all file processing to this directory only\nconst basePath = '/app/restricted/';\n\n// Create the full path, but only use our random generated id as the filename\nconst joinedPath = path.join(basePath, userData.id);\n// Normalize path, removing any '..'\nconst fullPath = path.normalize(joinedPath);\n// Verify the fullPath is contained within our basePath\nif (!fullPath.startsWith(basePath)) {\n    console.log(""Invalid path specified!"");\n}\n// Process / work with file\n// ...\n```\n\nFor more information on path traversal issues see OWASP:\nhttps://owasp.org/www-community/attacks/Path_Traversal\n",,medium,,CWE-22,"""A5:2017 - Broken Access Control""; ""A01:2021 - Broken Access Control""; ""ESLint rule ID/detect-non-literal-fs-filename""; eslint.detect-non-literal-fs-filename",2024-11-14 15:16:30 UTC,"{""file""=>""lib/codingChallenges.ts"", ""start_line""=>29}",FALSE,,,,
,juice-shop,sast,Semgrep,detected,Deserialization of Untrusted Data,User controlled data in 'yaml.load()' function can result in Remote Code Injection.\n,,critical,,CWE-502,"""NodeJS Scan ID javascript-eval-rule-yaml_deserialize""; ""A8:2017 - Insecure Deserialization""; nodejs_scan.javascript-eval-rule-yaml_deserialize; ""A08:2021 - Software and Data Integrity Failures""",2024-11-14 15:16:30 UTC,"{""file""=>""server.ts"", ""start_line""=>59}",FALSE,,,,
,juice-shop,sast,Semgrep,detected,Improper neutralization of special elements in data query logic,Untrusted user input in findOne() function can result in NoSQL Injection.\n,,critical,,CWE-943,"""A1:2017 - Injection""; nodejs_scan.javascript-database-rule-node_nosqli_injection; ""NodeJS Scan ID javascript-database-rule-node_nosqli_injection""; ""A03:2021 - Injection""",2024-11-14 15:16:30 UTC,"{""file""=>""routes/resetPassword.ts"", ""end_line""=>53, ""start_line""=>19}",FALSE,,,,
,juice-shop,sast,Semgrep,detected,Improper limitation of a pathname to a restricted directory ('Path Traversal'),"The application dynamically constructs file or path information. If the path\ninformation comes from user-supplied input, it could be abused to read sensitive files,\naccess other users' data, or aid in exploitation to gain further system access.\n\nUser input should never be used in constructing paths or files for interacting\nwith the filesystem. This includes filenames supplied by user uploads or downloads.\nIf possible, consider hashing user input or using unique values and\nuse `path.normalize` to resolve and validate the path information\nprior to processing any file functionality.\n\nExample using `path.normalize` and not allowing direct user input:\n```\n// User input, saved only as a reference\n// id is a randomly generated UUID to be used as the filename\nconst userData = {userFilename: userSuppliedFilename, id: crypto.randomUUID()};\n// Restrict all file processing to this directory only\nconst basePath = '/app/restricted/';\n\n// Create the full path, but only use our random generated id as the filename\nconst joinedPath = path.join(basePath, userData.id);\n// Normalize path, removing any '..'\nconst fullPath = path.normalize(joinedPath);\n// Verify the fullPath is contained within our basePath\nif (!fullPath.startsWith(basePath)) {\n    console.log(""Invalid path specified!"");\n}\n// Process / work with file\n// ...\n```\n\nFor more information on path traversal issues see OWASP:\nhttps://owasp.org/www-community/attacks/Path_Traversal\n",,medium,,CWE-22,"""A5:2017 - Broken Access Control""; ""A01:2021 - Broken Access Control""; ""ESLint rule ID/detect-non-literal-fs-filename""; eslint.detect-non-literal-fs-filename",2024-11-14 15:16:30 UTC,"{""file""=>""rsn/rsnUtil.ts"", ""start_line""=>48}",FALSE,,,,
,juice-shop,sast,Semgrep,detected,Improper neutralization of special elements in data query logic,Untrusted user input in findOne() function can result in NoSQL Injection.\n,,critical,,CWE-943,"""A1:2017 - Injection""; nodejs_scan.javascript-database-rule-node_nosqli_injection; ""NodeJS Scan ID javascript-database-rule-node_nosqli_injection""; ""A03:2021 - Injection""",2024-11-14 15:16:30 UTC,"{""file""=>""routes/deluxe.ts"", ""start_line""=>35}",FALSE,,,,
,juice-shop,sast,Semgrep,detected,Improper neutralization of special elements in data query logic,Untrusted user input in findOne() function can result in NoSQL Injection.\n,,critical,,CWE-943,"""A1:2017 - Injection""; nodejs_scan.javascript-database-rule-node_nosqli_injection; ""NodeJS Scan ID javascript-database-rule-node_nosqli_injection""; ""A03:2021 - Injection""",2024-11-14 15:16:30 UTC,"{""file""=>""routes/delivery.ts"", ""start_line""=>34}",FALSE,,,,
,juice-shop,sast,Semgrep,detected,Deserialization of Untrusted Data,User controlled data in 'yaml.load()' function can result in Remote Code Injection.\n,,critical,,CWE-502,"""NodeJS Scan ID javascript-eval-rule-yaml_deserialize""; ""A8:2017 - Insecure Deserialization""; nodejs_scan.javascript-eval-rule-yaml_deserialize; ""A08:2021 - Software and Data Integrity Failures""",2024-11-14 15:16:30 UTC,"{""file""=>""routes/vulnCodeFixes.ts"", ""start_line""=>80}",FALSE,,,,
,juice-shop,sast,Semgrep,detected,Improper neutralization of directives in dynamically evaluated code ('Eval Injection'),"The application was found calling the `eval` function OR Function()\n  constructor OR setTimeout() OR setInterval() methods. If the\n\n  variables or strings or functions passed to these methods contains user-supplied input, an adversary could attempt to execute arbitrary\n\n  JavaScript\n\n  code. This could lead to a full system compromise in Node applications or Cross-site Scripting\n\n  (XSS) in web applications.\n\n\n  To remediate this issue, remove all calls to above methods and consider alternative methods for\n\n  executing\n\n  the necessary business logic. There is almost no safe method of calling `eval` or other above stated sinks with\n\n  user-supplied input.\n\n  Instead, consider alternative methods such as using property accessors to dynamically access\n\n  values.\n\n\n  Example using property accessors to dynamically access an object's property:\n\n  ```\n\n  // Define an object\n\n  const obj = {key1: 'value1', key2: 'value2'};\n\n  // Get key dynamically from user input\n\n  const key = getUserInput();\n\n  // Check if the key exists in our object and return it, or a default empty string\n\n  const value = (obj.hasOwnProperty(key)) ? obj[key] : '';\n\n  // Work with the value\n\n  ```\n\n\n  For more information on why not to use `eval`, and alternatives see:\n\n  - https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/eval#never_use_eval!\n\n  Other References:\n\n  - https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Function/Function\n\n  - https://developer.mozilla.org/en-US/docs/Web/API/setTimeout\n\n  - https://developer.mozilla.org/en-US/docs/Web/API/setInterval\n",,high,,CWE-95,"eslint.detect-eval-with-expression; ""A1:2017 - Injection""; ""A03:2021 - Injection""; ""ESLint rule ID/detect-eval-with-expression""",2024-11-14 15:16:30 UTC,"{""file""=>""routes/userProfile.ts"", ""start_line""=>36}",FALSE,,,,
,juice-shop,sast,Semgrep,detected,Use of cryptographically weak pseudo-random number generator (PRNG),"This rule identifies use of cryptographically weak random number generators.\nUsing cryptographically weak random number generators like `crypto.pseudoRandomBytes()` \nand `Math.random()` for security-critical tasks can expose systems to significant \nvulnerabilities. Attackers might predict the generated random numbers, compromising \nthe integrity and confidentiality of cryptographic operations. This could lead to \nbreaches where sensitive data is accessed or manipulated, authentication mechanisms \nare bypassed, or secure communications are intercepted, ultimately undermining the \nsecurity of the entire system or application.\n\nMitigation strategy:\nReplace the use of these cryptographically weak random number generators with \n`crypto.randomBytes()`, a method provided by Node.js's `crypto` module that \ngenerates cryptographically secure random numbers. This method should be used \nfor all operations requiring secure randomness, such as generating keys, tokens, \nor any cryptographic material.\n\nSecure Code Example:\n```\nconst crypto = require('crypto');\nconst secureBytes = crypto.randomBytes(256);\nconsole.log(`Secure random bytes: ${secureBytes.toString('hex')}`);\n```\n",,medium,,CWE-338,"nodejs_scan.javascript-crypto-rule-node_insecure_random_generator; ""NodeJS Scan ID javascript-crypto-rule-node_insecure_random_generator""; ""A3:2017 - Sensitive Data Exposure""; ""A02:2021 - Cryptographic Failures""",2024-11-14 15:16:30 UTC,"{""file""=>""data/datacreator.ts"", ""start_line""=>297}",FALSE,,,,
,juice-shop,sast,Semgrep,detected,Improper neutralization of special elements in data query logic,Untrusted user input in findOne() function can result in NoSQL Injection.\n,,critical,,CWE-943,"""A1:2017 - Injection""; nodejs_scan.javascript-database-rule-node_nosqli_injection; ""NodeJS Scan ID javascript-database-rule-node_nosqli_injection""; ""A03:2021 - Injection""",2024-11-14 15:16:30 UTC,"{""file""=>""routes/securityQuestion.ts"", ""end_line""=>19, ""start_line""=>14}",FALSE,,,,
,juice-shop,sast,Semgrep,detected,Improper neutralization of special elements in data query logic,Untrusted user input in findOne() function can result in NoSQL Injection.\n,,critical,,CWE-943,"""A1:2017 - Injection""; nodejs_scan.javascript-database-rule-node_nosqli_injection; ""NodeJS Scan ID javascript-database-rule-node_nosqli_injection""; ""A03:2021 - Injection""",2024-11-14 15:16:30 UTC,"{""file""=>""routes/payment.ts"", ""start_line""=>41}",FALSE,,,,
,juice-shop,sast,Semgrep,detected,Unchecked input for loop condition,"This application is looping over user controlled objects, which can lead to a layer 7 denial of service vulnerability.\n\nA layer 7 denial of service attack refers to overloading the application layer of the OSI model, typically layer 7. \nThis can happen when user-controlled input such as objects, arrays, strings, etc. are iterated or looped over without proper validation or limits in place.\n\nFor example, if a user can control the size of an array or object passed into the application, \nthey could create an extremely large input that gets looped over. This would consume excessive CPU cycles or memory, \npotentially crashing or slowing down the application.\n\nTo prevent this, limits should be set on the number of iterations, input sizes, recursion depth, etc.\n\nSample case of secure array looped over with user-controlled input\n```\n// Potential DoS if req.body.list.length is large.\napp.post('/dos/layer7-object-dos/for-loop/1', function (req, res) {\n    var list = req.body.list;\n    for (let i = 0; i <= 10; i++) {\n        if(!list[i]){\n          // return;\n        }  \n    }\n    res.send(""res"")\n});\n```\n\nImplementing protections against layer 7 denial of service attacks is important for securing modern web applications and APIs.\n",,medium,,CWE-606,"""NodeJS Scan ID javascript-dos-rule-layer7_object_dos""; nodejs_scan.javascript-dos-rule-layer7_object_dos; ""A6:2017 - Security Misconfiguration""; ""A05:2021 - Security Misconfiguration""",2024-11-14 15:16:30 UTC,"{""file""=>""routes/payment.ts"", ""start_line""=>22}",FALSE,,,,
